utterance,focus_type,speaker,onglide_log,onglide
87,narrow,JZ_98,0.136720567,0.37
88,broad,JZ_98,0.103803721,0.27
89,narrow,JZ_98,0.178976947,0.51
90,broad,JZ_98,0.260071388,0.82
91,narrow,JZ_98,NA,NA
92,broad,JZ_98,0.235528447,0.72
93,contrastive,JZ_98,0.204119983,0.6
94,contrastive,JZ_98,0.193124598,0.56
96,contrastive,JZ_98,0.320146286,1.09
97,broad,JZ_98,NA,NA
99,broad,JZ_98,0.079181246,0.2
18,broad,LV_98,0.217483944,0.65
19,broad,LV_98,0.320146286,1.09
20,contrastive,LV_98,0.527629901,2.37
23,broad,LV_98,0.499687083,2.16
25,contrastive,LV_98,0.494154594,2.12
26,contrastive,LV_98,0.686636269,3.86
27,broad,LV_98,0.409933123,1.57
28,contrastive,LV_98,0.255272505,0.8
30,broad,LV_98,0.173186268,0.49
31,broad,LV_98,0.474216264,1.98
32,narrow,LV_98,0.408239965,1.56
34,contrastive,LV_98,0.522444234,2.33
35,broad,LV_98,0.40654018,1.55
36,contrastive,LV_98,0.746634199,4.58
37,broad,LV_98,0.209515015,0.62
38,narrow,LV_98,0.624282096,3.21
39,contrastive,LV_98,0.658011397,3.55
40,narrow,LV_98,0.276461804,0.89
41,broad,LV_98,0.350248018,1.24
42,contrastive,LV_98,0.685741739,3.85
43,narrow,LV_98,0.173186268,0.49
45,narrow,LV_98,0.751279104,4.64
47,narrow,LV_98,0.641474111,3.38
48,narrow,LV_98,0.357934847,1.28
50,contrastive,LV_98,0.579783597,2.8
51,broad,LV_98,0.136720567,0.37
53,broad,LV_98,0.28780173,0.94
56,contrastive,LV_98,0.706717782,4.09
57,contrastive,LV_98,0.686636269,3.86
58,narrow,LV_98,0.324282455,1.11
59,broad,LV_98,0.434568904,1.72
61,broad,LV_98,-0.728353782,-4.35
62,contrastive,LV_98,0.696356389,3.97
65,contrastive,LV_98,0.888179494,6.73
66,narrow,LV_98,0.276461804,0.89
67,broad,LV_98,-0.274157849,-0.88
68,contrastive,LV_98,0.639486489,3.36
70,narrow,LV_98,0.51851394,2.3
72,narrow,LV_98,0.536558443,2.44
73,narrow,LV_98,0.392696953,1.47
74,broad,LV_98,-0.489958479,-2.09
75,narrow,LV_98,0.506505032,2.21
76,contrastive,LV_98,0.651278014,3.48
78,narrow,LV_98,0.187520721,0.54
80,contrastive,LV_98,0.683947131,3.83
81,narrow,LV_98,0.394451681,1.48
82,narrow,LV_98,0.36361198,1.31
83,contrastive,LV_98,0.64738297,3.44
84,contrastive,LV_98,0.879669206,6.58
85,broad,LV_98,-0.561101384,-2.64
86,broad,LV_98,-0.598790507,-2.97
87,narrow,LV_98,0.574031268,2.75
89,narrow,LV_98,-0.514547753,-2.27
90,contrastive,LV_98,0.788875116,5.15
92,narrow,LV_98,0.712649702,4.16
93,broad,LV_98,0.523746467,2.34
